სათაური ქართულად,სათაური,სურათის URL
დიდი გამყინვარება: სკრატის ისტორიები,Ice Age: Scrat Tales,https://animetv.night-city.online/uploads/posts/2022-05/1653587621_-.jpg
ჯაშუშის ოჯახი,Spy x Family,https://animetv.night-city.online/uploads/posts/2022-04/1650582533_000c247ef29b4783.jpg
ნულოვანი ედენი,Edens zero,https://animetv.night-city.online/uploads/posts/2022-05/1651689674_-.png
უკანასკნელი სერაფიმი,Seraph of the End,https://animetv.night-city.online/uploads/posts/2022-05/1652900366_-.jpg
შამანთა მეფე,Shaman King,https://animetv.night-city.online/uploads/posts/2022-05/1651474727_-3.jpg
ფარის გმირი S2,Tate no Yuusha no Nariagari / The Rising of the Shield Hero / 盾の勇者の成り上がり,https://animetv.night-city.online/uploads/posts/2022-04/1649507179_-2-3.jpg
One Piece,ვანპისი,https://animetv.night-city.online/uploads/posts/2022-01/1642676110_one-piece-2.png
ჯუჯუცუ კაისენი 0 - ფილმი,Jujutsu Kaisen 0 Movie,https://animetv.night-city.online/uploads/posts/2022-05/1652080776_-.png
ჩემი შეყვარებული აგენტია,My Girlfriend Is an Agent,https://animetv.night-city.online/uploads/posts/2022-05/1651397067_unknown.png
ბუშტუკი,Bubble/ バブル,https://animetv.night-city.online/uploads/posts/2022-04/1651342431_-.jpg
ფუტსალის ბიჭები,Futsal Boys/フットサルボーイズ,https://animetv.night-city.online/uploads/posts/2022-03/1648402043_-1.jpg
ყველა ჩვენგანი მკვდარია,All of Us Are Dead,https://animetv.night-city.online/uploads/posts/2022-01/1643488074_-2.jpg
დაპირებული არარსებული ქვეყანა,The Promised Neverland,https://animetv.night-city.online/uploads/posts/2022-04/1649955075_-.jpg
ტერორი რეზონანსში,Zankyou no Terror / Terror in Resonance,https://animetv.night-city.online/uploads/posts/2022-04/1650481174_-.jpg
მონსტრი,Monster,https://animetv.night-city.online/uploads/posts/2022-02/1644680344_1585909321_70205011.png
ვანიტასის მემუარები,Vanitas no Carte,https://animetv.night-city.online/uploads/posts/2021-07/1625868797_0-3.jpeg
ბაკი : ოგრის შვილი,範馬刃牙 SON OF OGRE,https://animetv.night-city.online/uploads/posts/2022-04/1649093313_-2.jpg
ტიტანების შემოტევა S4,Attack on titan,https://animetv.night-city.online/uploads/posts/2022-02/1646038256_-.jpg
ცა ფერებში,Appare-Ranman,https://animetv.night-city.online/uploads/posts/2020-03/1585134244_ras.png
ჟანგის მჭამელი ბისკო,Sabikui Bisco,https://animetv.night-city.online/uploads/posts/2022-01/1642675821_-.png
ორიენტი,Orient オリエント,https://animetv.night-city.online/uploads/posts/2022-01/1641419005_-.jpg
კემონოს ინციდენტი,Kemono Jihen,https://animetv.night-city.online/uploads/posts/2022-03/1646753599_-.jpg
ჩემი საგმირო აკადემია: მსოფლიო გმირების დავალება,My Hero Academia: World Heroes' Mission,https://animetv.night-city.online/uploads/posts/2022-02/1645868969_-.jpg
დემონების მკვეთი ხმალი,Demon Slayer,https://animetv.night-city.online/uploads/posts/2022-05/1652613520_-.jpg
შავი ლაგუნა / Black Lagoon,,https://animetv.night-city.online/uploads/posts/2022-02/1644679232_1642335056_-.png
ნარუტო / Naruto,Naruto,https://animetv.night-city.online/uploads/posts/2022-01/1641836238_-.jpg
2.43 სეინის უმაღლესი სკოლის ბიჭების ფრენბურთის კლუბი,2.43 seiin highschool boys volleyball club,https://animetv.night-city.online/uploads/posts/2022-02/1644679872_1643648780_2_43-.jpg
ტიტანების შემოტევა - განხილვა,Attack On Titan,https://animetv.night-city.online/uploads/posts/2022-02/1644679984_1642342328_-.png
საყვარელი ფრანქსში,Darling in the franxx,https://animetv.night-city.online/uploads/posts/2022-02/1644680434_1641831607_-.jpg
დორორო,Dororo | Dororo to Hyakkimaru,https://animetv.night-city.online/uploads/posts/2022-02/1644680513_1640791688_-.jpg
მასამუნეს შურისძიება,Masamune-kun no Revenge,https://animetv.night-city.online/uploads/posts/2022-02/1644680710_1640260333_-.jpg
მკვლელების კლასი,Ansatsu Kyoushitsu,https://animetv.night-city.online/uploads/posts/2022-02/1644680808_1640432326_-.jpg
სახლი!,Home!,https://animetv.night-city.online/uploads/posts/2022-02/1644683762_1640432326_-.jpg
ბაკი,Baki,https://animetv.night-city.online/uploads/posts/2022-02/1644683855_1639410039_21313131.jpg
ზესტრიის ზღაპრები,Tales of Zestiria,https://animetv.night-city.online/uploads/posts/2021-12/1640200758_1588623433_691.jpg
